Result,Player,Book Odds,predicted_prob,Odds,New Odds (w/limits),Difference,New Ex%,Book Decimal Odds,Bet Standard,Profit Standard,BankRoll Standard,Bet Kelly,Profit Kelly,Bankroll Kelly,Bets,Bet Odds,Edge,Week,,,This Week,14,,,,,,
Hit,Terry McLaurin,120,62.1%,-164,-150,-270,60%,2.20,$40,$48.00,"$1,410.56",$67,$80.00,$667,Terry McLaurin,120,14.5%,15,,,,,,,,,,
Miss,Jaxon Smith-Njigba,200,34.0%,194,194,-6,34%,3.00,$40,-$40.00,"$1,370.56",$3,-$2.54,$665,Jaxon Smith-Njigba,200,0.7%,15,,,,,,,,,,
Hit,Jalen Tolbert,600,22.5%,345,345,-255,22%,7.00,$40,$240.00,"$1,610.56",$24,$143.03,$808,Jalen Tolbert,600,8.2%,15,,,,,,,,,,
Hit,Nico Collins,135,65.3%,-188,-150,-285,60%,2.35,$40,$54.00,"$1,664.56",$76,$102.50,$910,Nico Collins,135,17.4%,15,,,,,,,,,,
Hit,DeVonta Smith,180,38.8%,158,158,-22,39%,2.80,$40,$72.00,"$1,736.56",$12,$21.46,$932,DeVonta Smith,180,3.1%,15,,,,,,,,,,
Miss,Andrei Iosivas,390,29.0%,245,245,-145,29%,4.90,$40,-$40.00,"$1,696.56",$27,-$26.91,$905,Andrei Iosivas,390,8.6%,15,,,,,,,,,,
Hit,Ladd McConkey,160,55.7%,-126,-126,-286,56%,2.60,$40,$64.00,"$1,760.56",$70,$111.90,"$1,017",Ladd McConkey,160,17.2%,15,,,,,,,,,,
Hit,Malik Nabers,215,46.2%,117,117,-98,46%,3.15,$40,$86.00,"$1,846.56",$53,$113.57,"$1,130",Malik Nabers,215,14.4%,15,,,,,,,,,,
Miss,Ja'Tavion Sanders,475,18.1%,453,453,-22,18%,5.75,$40,-$40.00,"$1,806.56",$2,-$2.12,"$1,128",Ja'Tavion Sanders,475,0.7%,15,,,,,,,,,,
Miss,D.J. Moore,220,49.1%,103,103,-117,49%,3.20,$40,-$40.00,"$1,766.56",$65,-$65.49,"$1,063",D.J. Moore,220,18.0%,15,,,,,,,,,,
Hit,Keenan Allen,300,37.4%,167,167,-133,37%,4.00,$40,$120.00,"$1,886.56",$42,$124.53,"$1,187",Keenan Allen,300,12.5%,15,,,,,,,,,,
Hit,Justin Jefferson,105,56.0%,-127,-127,-232,56%,2.05,$40,$42.00,"$1,928.56",$35,$36.73,"$1,224",Justin Jefferson,105,7.2%,15,,,,,,,,,,
Miss,Jordan Addison,160,68.7%,-219,-150,-310,60%,2.60,$40,-$40.00,"$1,888.56",$88,-$87.50,"$1,136",Jordan Addison,160,21.5%,15,,,,,,,,,,
Miss,Cole Kmet,420,26.7%,273,273,-147,27%,5.20,$40,-$40.00,"$1,848.56",$23,-$23.46,"$1,113",Cole Kmet,420,7.6%,15,,,,,,,,,,
Hit,Brian Thomas,170,45.4%,120,120,-50,45%,2.70,$40,$68.00,"$1,916.56",$33,$56.82,"$1,170",Brian Thomas,170,8.4%,15,,,,,,,,,,
Miss,Ladd McConkey,140,60.0%,-150,-150,-290,60%,2.40,$40,-$40.00,"$1,876.56",$79,-$78.57,"$1,091",Ladd McConkey,140,18.3%,16,,,,,,,,,,
Miss,Courtland Sutton,165,44.5%,125,125,-40,44%,2.65,$40,-$40.00,"$1,836.56",$27,-$26.94,"$1,064",Courtland Sutton,165,6.7%,16,,,,,,,,,,
Hit,Isaiah Likely,380,21.0%,377,377,-3,21%,4.80,$40,$152.00,"$1,988.56",$0,$1.57,"$1,066",Isaiah Likely,380,0.1%,16,,,,,,,,,,
Miss,Travis Kelce,180,56.0%,-130,-130,-310,57%,2.80,$40,-$40.00,"$1,948.56",$81,-$80.92,$985,Travis Kelce,180,20.8%,16,,,,,,,,,,
Miss,Nico Collins,155,77.0%,-327,-150,-305,60%,2.55,$40,-$40.00,"$1,908.56",$85,-$85.48,$899,Nico Collins,155,20.8%,16,,,,,,,,,,
Hit,Ja'Marr Chase,-155,84.0%,-527,-150,5,60%,1.65,$40,$25.81,"$1,934.37",$0,$0.00,$899,Ja'Marr Chase,-155,-0.8%,16,,,,,,,,,,
Hit,Amon-Ra St. Brown,110,84.8%,-558,-150,-260,60%,2.10,$40,$44.00,"$1,978.37",$59,$65.00,$964,Amon-Ra St. Brown,110,12.4%,16,,,,,,,,,,
Void,Drake London,115,47.3%,111,111,-4,47%,2.15,$0,$0.00,"$1,978.37",,,$964,Drake London,115,0.8%,16,,,,,,,,,,
Miss,Garrett Wilson,145,54.4%,-119,-119,-264,54%,2.45,$40,-$40.00,"$1,938.37",$57,-$57.44,$907,Garrett Wilson,145,13.6%,16,,,,,,,,,,
Hit,Justin Jefferson,120,61.8%,-162,-150,-270,60%,2.20,$40,$48.00,"$1,986.37",$67,$80.00,$987,Justin Jefferson,120,14.5%,16,,,,,,,,,,
Void,Davante Adams,130,76.5%,-326,-150,-280,60%,2.30,$0,$0.00,"$1,986.37",,,$987,Davante Adams,130,16.5%,16,,,,,,,,,,
Hit,Davante Adams,130,89.1%,-820,-150,-280,60%,2.30,$40,$52.00,"$2,038.37",$73,$95.00,"$1,082",Davante Adams,130,16.5%,16,,,,,,,,,,
Hit,Tee Higgins,145,58.8%,-143,-143,-288,59%,2.45,$40,$58.00,"$2,096.37",$76,$110.36,"$1,192",Tee Higgins,145,18.0%,16,,,,,,,,,,
Miss,George Kittle,165,80.4%,-409,-150,-315,60%,2.65,$40,-$40.00,"$2,056.37",$89,-$89.39,"$1,103",George Kittle,165,22.3%,16,,,,,,,,,,
Miss,D.J. Moore,175,44.9%,123,123,-52,45%,2.75,$40,-$40.00,"$2,016.37",$34,-$33.54,"$1,069",D.J. Moore,175,8.5%,16,,,,,,,,,,
Miss,Zach Ertz,330,23.7%,322,322,-8,24%,4.30,$40,-$40.00,"$1,976.37",$1,-$1.42,"$1,068",Zach Ertz,330,0.4%,16,,,,,,,,,,
Miss,Jauan Jennings,175,43.9%,128,128,-47,44%,2.75,$40,-$40.00,"$1,936.37",$30,-$29.80,"$1,038",Jauan Jennings,175,7.6%,16,,,,,,,,,,
Hit,Jordan Addison,165,63.8%,-176,-150,-315,60%,2.65,$40,$66.00,"$2,002.37",$89,$147.50,"$1,186",Jordan Addison,165,22.3%,16,,,,,,,,,,
Hit,Hunter Henry,370,32.5%,208,208,-162,32%,4.70,$40,$148.00,"$2,150.37",$36,$131.54,"$1,317",Hunter Henry,370,11.2%,16,,,,,,,,,,
Miss,Jonnu Smith,200,49.5%,102,102,-98,50%,3.00,$40,-$40.00,"$2,110.37",$61,-$60.63,"$1,256",Jonnu Smith,200,16.2%,16,,,,,,,,,,
Hit,Keenan Allen,175,37.1%,170,170,-5,37%,2.75,$40,$70.00,"$2,180.37",$3,$4.89,"$1,261",Keenan Allen,175,0.7%,16,,,,,,,,,,
Hit,Terry McLaurin,170,65.9%,-193,-150,-320,60%,2.70,$40,$68.00,"$2,248.37",$91,$155.00,"$1,416",Terry McLaurin,170,23.0%,16,,,,,,,,,,
Miss,Wan'Dale Robinson,400,27.8%,260,260,-140,28%,5.00,$40,-$40.00,"$2,208.37",$24,-$24.24,"$1,392",Wan'Dale Robinson,400,7.8%,16,,,,,,,,,,
Hit,Jaxon Smith-Njigba,195,35.9%,179,179,-16,36%,2.95,$40,$78.00,"$2,286.37",$8,$14.73,"$1,407",Jaxon Smith-Njigba,195,2.0%,16,,,,,,,,,,
Miss,David Njoku,235,33.4%,199,199,-36,33%,3.35,$40,-$40.00,"$2,246.37",$13,-$12.75,"$1,394",David Njoku,235,3.6%,16,,,,,,,,,,
Hit,Jalen Tolbert,450,20.7%,382,382,-68,21%,5.50,$40,$180.00,"$2,426.37",$8,$34.98,"$1,429",Jalen Tolbert,450,2.5%,16,,,,,,,,,,
Miss,Mike Evans,-105,53.7%,-116,-116,-11,54%,1.95,$40,-$40.00,"$2,386.37",$12,-$12.46,"$1,417",Mike Evans,-105,2.4%,16,,,,,,,,,,
Miss,Cooper Kupp,140,55.7%,-126,-126,-266,56%,2.40,$40,-$40.00,"$2,346.37",$60,-$60.24,"$1,356",Cooper Kupp,140,14.1%,16,,,,,,,,,,
Void,Allen Lazard,500,29.7%,237,237,-263,30%,6.00,$0,$0.00,"$2,346.37",,,"$1,356",Allen Lazard,500,13.0%,16,,,,,,,,,,
Miss,Demarcus Robinson,360,29.0%,245,245,-115,29%,4.60,$40,-$40.00,"$2,306.37",$23,-$23.20,"$1,333",Demarcus Robinson,360,7.3%,16,,,,,,,,,,
Miss,DeVonta Smith,165,48.0%,108,108,-57,48%,2.65,$40,-$40.00,"$2,266.37",$41,-$41.30,"$1,292",DeVonta Smith,165,10.3%,16,,,,,,,,,,
Miss,Malik Nabers,150,47.0%,113,113,-37,47%,2.50,$40,-$40.00,"$2,226.37",$29,-$29.14,"$1,263",Malik Nabers,150,7.0%,16,,,,,,,,,,
Hit,Nick Westbrook-Ikhine,380,22.2%,350,350,-30,22%,4.80,$40,$152.00,"$2,378.37",$4,$16.57,"$1,279",Nick Westbrook-Ikhine,380,1.4%,16,,,,,,,,,,
Hit,Andrei Iosivas,370,25.3%,295,295,-75,25%,4.70,$40,$148.00,"$2,526.37",$13,$47.67,"$1,327",Andrei Iosivas,370,4.1%,16,,,,,,,,,,
Miss,Jalen Nailor,600,18.4%,443,443,-157,18%,7.00,$40,-$40.00,"$2,486.37",$12,-$12.02,"$1,315",Jalen Nailor,600,4.1%,16,,,,,,,,,,
Hit,A.J. Brown,130,47.5%,110,110,-20,48%,2.30,$40,$52.00,"$2,538.37",$18,$23.39,"$1,338",A.J. Brown,130,4.1%,16,,,,,,,,,,
Miss,Josh Oliver,850,12.5%,701,701,-149,12%,9.50,$40,-$40.00,"$2,498.37",$5,-$5.46,"$1,333",Josh Oliver,850,2.0%,16,,,,,,,,,,
Hit,Brian Thomas,175,53.3%,-114,-114,-289,53%,2.75,$40,$70.00,"$2,568.37",$66,$116.24,"$1,449",Brian Thomas,175,16.9%,16,,,,,,,,,,
Miss,Ja'Marr Chase,-150,82.8%,-480,-150,0,60%,1.67,$40,-$40.00,"$2,528.37",$0,$0.00,"$1,449",Ja'Marr Chase,-150,0.0%,17,,22.3%,Davante Adams,,,,,,,
Miss,Drake London,140,44.8%,123,123,-17,45%,2.40,$40,-$40.00,"$2,488.37",$13,-$13.28,"$1,436",Drake London,140,3.1%,,,21.5%,Jordan Addison,,,,,,,
Hit,Travis Kelce,175,54.0%,-118,-118,-293,54%,2.75,$40,$70.00,"$2,558.37",$69,$121.56,"$1,557",Travis Kelce,175,17.7%,,,18.3%,George Kittle,,,,,,,
Miss,Davante Adams,165,86.4%,-636,-150,-315,60%,2.65,$40,-$40.00,"$2,518.37",$89,-$89.39,"$1,468",Davante Adams,165,22.3%,,,17.7%,Travis Kelce,,,,,,,
Miss,Justin Jefferson,100,68.6%,-219,-150,-250,60%,2.00,$40,-$40.00,"$2,478.37",$50,-$50.00,"$1,418",Justin Jefferson,100,10.0%,,,17.1%,Garrett Wilson,,,,,,,
Miss,D.J. Moore,225,44.4%,125,125,-100,44%,3.25,$40,-$40.00,"$2,438.37",$49,-$49.33,"$1,369",D.J. Moore,225,13.7%,,,16.5%,Nico Collins,,,,,,,
Hit,Garrett Wilson,190,51.6%,-107,-107,-297,52%,2.90,$40,$76.00,"$2,514.37",$65,$124.28,"$1,493",Garrett Wilson,190,17.1%,,,16.5%,A.J. Brown,,,,,,,
Hit,Tee Higgins,120,63.6%,-175,-150,-270,60%,2.20,$40,$48.00,"$2,562.37",$67,$80.00,"$1,573",Tee Higgins,120,14.5%,,,16.4%,Jonnu Smith,,,,,,,
Miss,Hunter Henry,320,37.5%,167,167,-153,38%,4.20,$40,-$40.00,"$2,522.37",$45,-$44.93,"$1,528",Hunter Henry,320,13.7%,,,14.5%,Ladd McConkey,,,,,,,
Hit,Wan'Dale Robinson,350,27.9%,258,258,-92,28%,4.50,$40,$140.00,"$2,662.37",$18,$64.11,"$1,592",Wan'Dale Robinson,350,5.7%,,,14.5%,Tee Higgins,,,,,,,
Hit,Jordan Addison,160,68.4%,-216,-150,-310,60%,2.60,$40,$64.00,"$2,726.37",$88,$140.00,"$1,732",Jordan Addison,160,21.5%,,,13.7%,Hunter Henry,,,,,,,
Miss,Keenan Allen,210,40.4%,148,148,-62,40%,3.10,$40,-$40.00,"$2,686.37",$30,-$29.88,"$1,702",Keenan Allen,210,8.1%,,,13.7%,D.J. Moore,,,,,,,
Void,Jonnu Smith,205,49.2%,103,103,-102,49%,3.05,$0,$0.00,"$2,686.37",,,"$1,702",Jonnu Smith,205,16.4%,,,12.4%,Terry McLaurin,,,,,,,
Miss,Nico Collins,130,73.1%,-272,-150,-280,60%,2.30,$40,-$40.00,"$2,646.37",$73,-$73.08,"$1,629",Nico Collins,130,16.5%,,,12.4%,Amon-Ra St. Brown,,,,,,,
